Response ID,Country,Which team were you on? (Please enter your team name.),"Not counting this event, how many times have you previously participated in hackathons or similar events? - 1",Have you participated previously in international group projects?,What is your favorite programming language/stack? - Selected Choice,How well was this event organized?,How satisfied are you with this event?,Please rate the degree to which you agree with the following statements about your participation in the event: - I set goals for myself while problem-solving during the event.,Please rate the degree to which you agree with the following statements about your participation in the event: - I took time to evaluate my progress toward those goals.,"Please rate the degree to which you agree with the following statements about your participation in the event: - I sought new information, resources, knowledge during the event.",Please rate the degree to which you agree with the following statements about your participation in the event: - I practiced new skills during the event.,Please rate the degree to which you agree with the following statements about your participation in the event: - I am happy with my problem-solving processes during the event.,Please rate the degree to which you agree with the following statements about your participation in the event: - I developed my intercultural communication skills during this event.,Please rate the degree to which you agree with the following statements about your participation in the event: - I learned new information about a foreign country and culture through this event.,Please rate the degree to which you agree with the following statements about your participation in the event: - I feel comfortable working in international and multicultural group projects after this event.,Please rate the importance of the following supports for problem-solving during this event: - Past knowledge and existing skills,Please rate the importance of the following supports for problem-solving during this event: - Event teammates,Please rate the importance of the following supports for problem-solving during this event: - Event experts,Please rate the importance of the following supports for problem-solving during this event: - Friends and colleagues not participating in the event,Please rate the importance of the following supports for problem-solving during this event: - Social media and web forums,"Please rate the importance of the following supports for problem-solving during this event: - Textbooks, guidebooks, manuals, etc.","Please rate the importance of the following supports for problem-solving during this event: - Generative AI tools (e.g., ChatGPT, Copilot, Gemini, Claude, etc.)",How helpful were the event experts?,Are you ready to move forward in your career?,"Please rate, with 1 being not at all prepared and 10 being completely prepared, the degree to which you feel ready to move forward in your career because of this event: - 1",Briefly describe your overall impressions of this event:,Briefly describe two or more new things you learned about your international partners through this binational event.,"Would you be interested in participating in a future international event like this (e.g., hackathon, design sprint)?"
R_2xXNp3ep8OVDNC1,Ukraine,Team 4: ClearSight Disaster Suite,,Yes,C#,Good,Absolutely pleased. When will the next one be?,9,9,10,10,10,10,10,10,10,10,8,3,3,8,10,Useful,Yes,7,"
Q13. Briefly describe your overall impressions of this event:
Participating in this hackathon was an incredible experience! It was amazing to work with students from both Florida State University and Taras Shevchenko National University of Kyiv on a real-world challenge. I appreciated how well-organized the event was, with a clear agenda and great mentor support throughout. The collaborative environment really pushed us to think critically and creatively.","I also discovered how open and collaborative my partners from Florida are. They were always eager to share their expertise, support team members, and bring creative solutions to the table. Their strong teamwork and communication skills made the collaboration both productive and enjoyable.",Yes
R_1j7Aga4ehgFV6cD,USA,Team 5: UAVSAR,0,No,Python,Good,Dissatisfied,9,9,9,10,5,3,2,3,10,1,10,4,3,7,8,Super helpful,Yes,8,The event was interesting but the selection and participation of teammates was not optimal.,I had difficulty communicating with international partners so I did not learn a lot.,No
R_8EgJfFdBKcjNmxj,Ukraine,Team 5: UAVSAR,1,No,C++,Good,Satisfied,6,7,8,6,7,7,4,7,8,9,8,5,7,8,8,Useful,Yes,6,"An interesting problem, good participants and mentors, little time",,Yes
R_3QltNZ6XzCpTcw0,USA,Team 5: UAVSAR,6,No,Frontend,Good,Satisfied,7,7,,6,5,7,9,8,10,7,10,4,4,9,10,Super helpful,Yes,7,This was a unique experience for my and I was very glad we had a wide range of experts as mentors.,We both enjoy technology and developing our skills,Yes
R_8qQGRU9kbuOwkdl,Ukraine,Team 6: Phoenix Rising,0,No,Python,Good,Satisfied,8,8,10,10,9,5,5,7,9,7,8,1,1,5,4,Super helpful,Yes,8,,,Yes
R_6jlv12yJ1VNskyR,USA,Team 6: Phoenix Rising,1,No,SQL,Good,Satisfied,8,8,9,6,8,7,8,7,6,6,7,6,7,4,8,Super helpful,Yes,6,I appreciate the staff and facilitators that worked to organize this event and creat this opportunity.,"I learned how similar the KNU students were to me. I also found how there can be friction between different cultures with different expectations that, can result in misunderstandings without proper communication.",Yes
R_8tZsln6nYcg74fn,Ukraine,Team 6: Phoenix Rising,,No,C#,Good,Satisfied,5,5,10,10,10,10,10,10,5,10,10,5,8,5,5,Super helpful,Yes,4,"I like that there were many facilitators and support from experts, the only thing that got in the way was the first two days of misunderstanding between parts of the team regarding the prototype. After we told the team that we needed to make a prototype, this work was left to me and Kiril. And one member of the team also left us, and we did something with only the knowledge of c# sharp and mathematics","Maybe just a few details. I've heard a lot about Megan but not Jason. With Megan, we talked about her family, education",Yes
R_3mQdYKxicQKU0F3,USA,Team 7: Map Recovery,,Yes,Python,Not bad,Satisfied,8,8,10,8,7,8,3,7,10,10,9,1,1,9,9,Useful,No,6,it was fun!,ukrainians are very sweet people and they have good chocolate!,Yes
R_7XiFkGnmSEOqRHW,USA,Team 7: Map Recovery,,No,Other,Good,Satisfied,9,9,10,10,10,10,10,10,10,10,10,1,4,8,9,Super helpful,Yes,9,Unique and collaborative; wish the presentation component was better described. There was huge emphasis on recording the presentation ,My team taught me about Github; I learned about Kyiv's geography ,Yes
R_70oef9SrWRbEQAV,USA,Team 7: Map Recovery,,No,C++,Not bad,Satisfied,7,8,10,6,5,8,8,5,10,10,10,10,6,7,9,Super helpful,Yes,8,Overall I had a great time at this event. I believe some communication could have been coordinated a bit better and I wish things like time requirements were more strictly enforced across all teams. It was great getting to connect to so many new people and gaining so much new knowledge. ,"How prevalent the attacks are in Kiev. I knew vaguely because my grandmother lived in Sevastopol, but I didn’t realize how prevalent the airstrikes have been lately. It was also fun to learn the technologies the computer scientists work with over in Kiev! ",Yes
R_2CBlcWVa4Blm1Kg,Ukraine,Team 7: Map Recovery,0,No,Frontend,Good,Absolutely pleased. When will the next one be?,9,8,10,10,9,10,8,10,9,10,9,8,9,7,9,Useful,Yes,6,I liked everything very much. The hackathon allowed you to test your skills,I learned about our different ways to solve the problen,Yes
R_86ixjb0C5fLwK2d,Ukraine,Team 8: MLPVA,0,No,Python,Good,Satisfied,4,3,8,5,5,8,6,4,8,10,6,2,5,2,8,Useful,Yes,1,,,Yes
R_1AM7f5UfdfUAumQ,USA,Team 8: MLPVA,6,Yes,Python,Good,Satisfied,10,10,10,10,10,7,5,10,10,6,7,6,10,10,7,Useful,Yes,8,"The overall impression of **Hack Disaster** was highly positive, showcasing innovative solutions to critical challenges. Our project demonstrated the potential of integrating advanced technologies like U-Net, AR, and edge computing for real-world impact. The event fostered creativity, teamwork, and practical problem-solving, leaving participants inspired and motivated to tackle pressing global issues with technology.","1. Cultural Perspectives in Problem-Solving: Engaging with international students highlighted diverse approaches to tackling challenges, emphasizing how cultural backgrounds influence innovative thinking and collaborative strategies.  

2. Global Applicability of Solutions: Discussions with peers from different countries underscored the importance of designing solutions that address varied regional needs, making our project more inclusive and impactful across global disaster scenarios.",Yes
